,name,position_firm,sex,age,contact_details,email_add,vc_stakeholders,industry_cluster,reg_businessname,business_addr,form_interprise,issued_by_business_reg,issued_by_product_reg,issued_by_cert_reg,issued_by_lic_op,issued_by_iso_cert,issued_by_gapgmp_cert,issued_by_organic,issued_by_halal,issued_by_other_cert,type_enterprise,store_capacity_organic,store_capacity_synthetic,potential_organic,potential_synthetic,other_info_organic,other_info_synthetic,store_capacity_pesticides,store_capacity_herbicides,potential_pesticides,potential_herbicides,other_info_pesticides,other_info_herbicides,store_capacity_vermicast_compost,potential_vermicast_compost,other_info_vermicast_compost,store_capacity_seedlings,potential_seedlings,other_info_seedlings,store_capacity_others_specific_products,potential_others_specific_products,other_info_others_specific_products,area_capacity_drying,potential_exp_drying,other_info_drying,area_capacity_storage_hauling,potential_exp_storage_hauling,other_info_storage_hauling,area_capacity_storage,potential_exp_storage,other_info_storage,current_capacity_semi_processing,potential_exp_semi_processing,other_info_semi_processing,current_capacity_final_product,potential_exp_final_product,other_info_final_product,volume_consolidation,potential_consolidation,other_info_consolidation,production_pack_label,potential_pack_label,other_info_pack_label,loan_portfo_micro_financing,potential_micro_financing,other_info_micro_financing,loan_portfo_insurance,potential_insurance,other_info_insurance,prodsales_product_service,prodsales_sales_vol,prodsales_unit_selling,prodsales_unit_measurement,prodsales_payment_terms,raw_materials,volume_supply,quality_requirement,unit_measurement_raw,distrib_point_local_cust,sales_vol_local_cust,payment_terms_local_cust,inhouse_num_workersmale,inhouse_num_workersfemale,inhouse_memb_ip_group,inhouse_ave_workdays,inhouse_ave_salary,sub_cont_num_workersmale,sub_cont_num_workersfemale,sub_cont_memb_ip_group,sub_cont_ave_workdays,sub_cont_ave_salary,piece_rate_num_workersmale,piece_rate_num_workersfemale,piece_rate_memb_ip_group,piece_rate_ave_workdays,piece_rate_ave_salary,form_interprise2,pricing,quality_raw,quality_final_prod,other_specifyc3,existing_comm,prov_supp_assis,business_prodc3,member_livelihood,what_cluster_industry
42,Hanoy Erinco Pinca,Owner,Female,46.0,9203450618.,,MSME,Coconut,Macy Rose Food Products,Brgy. Suba Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/4X5,Y,,N/A,N/A,N/A,50% OF THE AREA/4X5,Y,N/A,64 PCS OF COCONUTS,Y,N/A,8000 PCS OF COCONUT CANDY,Y,N/A,8000 PCS OF COCONUT CANDY,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Coconut Candy,8000 PCS ,1 PHP,per pc,COD,Coconut,64 pcs of coconuts,Organic,Cash,Northern Samar,8000 pcs of coconut candy,COD,2.0,2.0,,12 days/mo,8000 php/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
43,Janissa Balanquit Adora,Owner,Female,37.0,09277630965,janissadora@gmail.com,MSME,Cacao,,"Brgy. Guilaoangi, Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,10 percent,Y,,N/A,N/A,N/A,N/A,N/A,N/A,3 kg,Y,N/A,120 pcs tablea,Y,N/A,3 kg,Y,N/A,120 pcs tablea,Y,N/A,DOST- Cacao,Y,N/A,Cacao,Y,N/A,Tablea,120 pcs tablea,PhP120,per pack,COD,Cacao beans,3 kg,Color,Cash,Laoang,120 pcs tablea,COD,1.0,1.0,,6.0,N/A,,,,,,,,,,,"Yes, lack of supply",No,No,No,,No,No,Yes,,Provision of financial support
44,Jayrick Cerbito Galit,Owner,Male,35.0,09568877227,,MSME,Coconut,,"Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,20 kg,Y,N/A,40 bottles,Y,N/A,20 kg,Y,N/A,40 bottles,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bottle of jams,40 bottles,PhP120,per bottle,COD,Coconut,20 kg,Color,Cash,Laoang,40 bottles,COD,2.0,,,1.0,N/A,,,,,,,,,,,No,No,No,No,,No,No,Yes,,Provision of financial support and equipment
45,Jean M. Vacunawa,Manager,Female,35.0,09355656455,,MSME,Pili,Daryl Jean Pili Nuts,"Purok 1, Brgy. Tasvilla, Allen, Northern Samar",Single/Sole,DTI; 07/26/2026,,BIR; 01/31/2023,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,10 percent,Y,,N/A,N/A,N/A,10 percent,Y,N/A,450 kg,Y,N/A,170 packs,Y,N/A,450 kg,Y,N/A,170 packs,Y,N/A,ASA; BPI; Home credit; AMOEC; CFI Catarman,Y,N/A,N/A,N/A,N/A,Pili delicacies,170 packs,PhP110,per piece,"GCASH, COD, BANK TRANSFER",Pili,450 kg,Color,Cash,"Catarman, Calbayog",170 packs,"GCASH, COD, BANK TRANSFER",2.0,2.0,,25.0,N/A,3.0,,,5.0,30 PER KG,,,,,,"Yes, lack of supply",No,No,No,,"Yes, siblings",No,No,,Cash assistance
46,Joan Escandor Poso,Owner,Female,44.0,9618597211.,NONE,MSME,Coconut,J-Mhar Store,Brgy.Baybay Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/4X5,Y,,N/A,N/A,N/A,50% OF THE AREA/4X5,Y,N/A,60 PCS  COCONUTS,Y,N/A,200 PCS OF BOKHAYO,Y,N/A,200 PCS OF BOKHAYO,Y,N/A,Plastic Tub With Labelling,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Coco Fretzels,960 PACKS,25 PHP/PACK,per pc,COD,Coconut,100 pcs of coconuts,Organic,Cash,Northern Samar,960 packs of coco fretzels,COD,2.0,1.0,,24 days/mo,33600 php/mo,,,,,,,,,,,No,NO,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
47,Jonathan Aberella Lora,Owner,Male,50.0,NONE,,MSME,Coconut,None,None,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/5X5,Y,,N/A,N/A,N/A,50% OF THE AREA/5X5,Y,N/A,12 TRESS OF COCONUT,Y,N/A,50 GALLOONS OF COCO VINEGAR,Y,N/A,50 GALLOONS OF COCO VINEGAR,Y,N/A,Plastic Galloon Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Coco Vinegar,50 GALLOONS,100PHP/GALLOON,per gal,COD,Coconut,48 trees of coconut,Organic,Cash,Northern Samar,200galloons of coco wine,COD,1.0,,,30 days/mo,20000.0,,,,,,,,,,,No,NO,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
48,Lusanta Caparroso Guinanao,Owner,Female,62.0,9656995881.,,MSME,Coconut,None,Brgy. Baybay Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA 3X5,Y,,N/A,N/A,N/A,50% OF THE AREA 3X5,Y,N/A,120 PCS COCONUTS,Y,N/A,54 KG OF COCO POWDER,Y,N/A,54KG OF COCO POWDER,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Coco Powder,54KGS,60PHP/KG,per kg,COD,Coconut,120 pcs of coconuts,Organic,Cash,Northern Samar,54 kgs of coco jam,COD,1.0,1.0,,24 days/mo,3240php/mo.,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
49,Ma. Cristine Adarayan Dianito,Owner,Female,31.0,09707962871,,MSME,Coconut,Prince and Tin Foodstore,"Brgy. Aguadahan, Laoang, Northern Samar",Single/Sole,DTI; 02/18/2027,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,unable to estimate,N/A,N/A,375 pcs bokayo,Y,N/A,N/A,N/A,N/A,375 pcs bokayo,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bokayo,375 pcs bokayo,PhP15,per piece,Cash,Coconut,unable to estimate,Color,Cash,Laoang,375 pcs bokayo,Cash,1.0,1.0,,15.0,N/A,,,,,,,,,,,No,No,No,No,,No,No,Yes,,Training
50,Maria F. Brin,Owner,Female,35.0,,,MSME,Pili,Pili Brittle,"Brgy. Lagundi, Allen, Northern Samar",Single/Sole,DTI; 2027,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,100 sq. meters (25 percent),Y,,N/A,N/A,N/A,100 sq. meters (25 percent),Y,N/A,160 kg,Y,N/A,32 kg of pili candy,Y,N/A,160 kg,Y,N/A,32 kg of pili candy,Y,N/A,Pili,Y,N/A,N/A,N/A,N/A,Pili candy,32 kg of pili candy,PhP200,per pack,COD,Pili,160 kg,Color,Cash,"Allen, Cebu",32 kg of pili candy,COD,2.0,1.0,,16.0,300/ DAY,,,,,,,,,,,"Yes, high price of pili",No,No,No,,No,No,Yes,,Farm-to-market road
51,Marilyn B. Chua,Manager,Female,31.0,,,MSME,Cacao,Rey and Chie,"Brgy. Suba, Laoang, Northern Samar",Single/Sole,DTI; 02/04/2027,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,8 kg of cacao,Y,N/A,240 packs of tablea,Y,N/A,8 kg of cacao,Y,N/A,240 packs of tablea,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tablea,240 packs of tablea,PhP125,per pack,COD,Cacao beans,8 kg of cacao,Color,Cash,Laoang,240 packs of tablea,COD,,1.0,,26.0,10000.0,,,,,,,,,,,"Yes, indemand of dried seeds","Yes, dried seeds became expensive",No,No,,No,No,Yes,,Provision of financial support as an additional capital
52,Marissa Rodriguez,Owner,Female,52.0,09672204258,marissarodriguez914@yahoo.com,MSME,Cacao,,"Brgy. Lucban, Bobon",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,"They purchased raw materials from the market, so they do not know how these cacaos have been grown",,,,,,,,,,,,,,,,150 sq. meters (50%),Y,,N/A,N/A,N/A,150 sq. meters (50%),Y,N/A,4 kg/ batch,Y,N/A,240 pcs. of tablea/ batch,Y,N/A,4 kg/ batch,Y,N/A,240 pcs. of tablea/ batch,Y,N/A,N/A,N/A,N/A,Cacao,Y,N/A,Tablea,240 pcs. of tablea,PhP10,per piece,COD,Cacao beans,4 kg/ batch,Color,Cash,Bubon,240 pcs. of tablea,COD,1.0,5.0,,3.0,9600.0,,,,,,,,,,,No,Yes,No,No,,No,No,Yes,,"Provision of financial support, equipment, and facilities."
53,Marjelyn Adriantico Poriage,Manager,Female,27.0,09126509522,marjelynmap@gmail.com,MSME,Pili,,"Lavezares, Northern Samar",Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,6 kg of pili,Y,N/A,1500 pcs. of pili tart,Y,N/A,6 kg of pili,Y,N/A,1500 pcs. of pili tart,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pili tart,1500 pcs. of pili tart,PhP10,per piece,COD,Pili,6 kg of pili,Color,Cash,Laoang,1500 pcs. of pili tart,COD,2.0,2.0,,4.0,N/A,,,,,,,,,,,"Yes, lack of supply due to lack of raw material",No,"Yes, some have infected nuts","Yes, sometimes taste of products are not good",,No,No,No,,Capacity building trainings and seminars
54,Maxima T. Quibal,Owner,Female,60.0,09214811895,quibalmaxima@gmail.com,MSME,Cacao,,"Brgy. Sabang II, Allen, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,unable to estimate,N/A,N/A,7 kg,Y,N/A,10 kg cacao dried beans,Y,N/A,10 packs,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tablea,40 packs,PhP100,per pack,COD,Dried cacao beans,10 kg ,Color,Cash,Palapag; online,40 packs,COD,,3.0,,3.0,None,,,,,,,,,,,"Yes,  high price of raw materials in off season.","Yes, it is assumed that price has to be increased.",No,No,,No,No,No,"Yes, financial support.",Locate traders with lower price of dried beans.
55,Meyrna Galero Adarayan,Owner,Female,46.0,09384051658,,MSME,Coconut,,"Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,12 kg,Y,N/A,800 pcs coconut candy,Y,N/A,12 kg,Y,N/A,800 pcs coconut candy,Y,N/A,ASA-Coconut,Y,N/A,N/A,N/A,N/A,Coconut candy,800 pcs coconut candy,PhP5,per piece,COD,Coconut,12 kg,Color,Cash,Laoang,800 pcs coconut candy,COD,2.0,,,1.0,N/A,,,,,,,,,,,No,No,No,No,,No,No,Yes,,Provision of financial support and equipment
56,Mida Irinco Geray,Owner,Female,67.0,9396484304.,midageray65@yahoo.com,MSME,Coconut,Cousins Variety Store,Brgy. Bobolosan Purok 2 Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,25% OF THE AREA 2X4,Y,,N/A,N/A,N/A,25% OF THE AREA 2X4,Y,N/A,100 PCS OF COCONUTS,Y,N/A,80 POUCHES OF NATA DE COCO,Y,N/A,80 POUCHES OF NATA DE COCO,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Nata De Coco,80 POUCHES,150 PHP EACH POUCH,pouch/ml,COD,Coconut,100 pcs of coconuts,Organic,Cash,Laoang Municipality,80 pouches of nata de coco,COD,1.0,3.0,,7 days/mo,12500 php/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
57,Milene Espeña Tamayo,Owner,Female,33.0,09991560600,,MSME,Cacao,,"Brgy. Baybay, Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,unable to estimate,N/A,N/A,600 pcs moron,Y,N/A,N/A,N/A,N/A,600 pcs moron,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Moron,600 pcs moron,PhP10,per piece,Cash,Cacao beans,unable to estimate,Color,Cash,Laoang,600 pcs moron,Cash,,2.0,,20.0,6000.0,,,,,,,,,,,No,No,No,No,,No,No,Yes,,
58,Monaliza Manlapaz Paloma,Owner,Female,44.0,9817777935.,,MSME,Coconut,M And A,Brgy.Suba Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/10X5,Y,,N/A,N/A,N/A,50% OF THE AREA/10X5,Y,N/A,60 PCS OF COCONUTS,Y,N/A,600 PCS OF COCONUT ROLL,Y,N/A,600 PCS OF COCONUT ROLL,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Coconut Roll,600 PCS OF COCONUT ROLL,10 PHP EACH,per pc,COD,Coconut,100 pcs of coconuts,Organic,Cash,Northern Samar,1000 pcs of coconut rolls,COD,1.0,1.0,,12 days/mo,10000 php/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
59,Monina Banyot Corocoto,Owner,Female,54.0,09812937100,,MSME,Coconut,Marjorie Corocoto,"Brgy. Suba, Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,unable to estimate,N/A,N/A,400 pcs bokayo,Y,N/A,N/A,N/A,N/A,400 pcs bokayo,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bokayo,400 pcs bokayo,PhP1,per piece,Cash,Coconut,unable to estimate,Color,Cash,Laoang,400 pcs bokayo,Cash,,2.0,,2.0,N/A,,,,,,,,,,,No,No,No,No,,No,No,Yes,,
60,Myra H. Golondrina,Manager,Female,29.0,09508683462,myrahgolondrina@yahoo.com,MSME,Pili,Gabriel Pili Nuts,"Brgy. Ocad, Lavezares, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,10 sacks,Y,N/A,5 kg,Y,N/A,50 packs/day,Y,N/A,50 packs (10 kg of fresh pili),Y,N/A,21 packs,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pili nuts,1400 packs,PhP 70,120 g/pack,GCASH/ Money remmitance,Pili beans,10 sacks,Color,Cash,Northern Samar; Manila,300 packs,COD,,1.0,,cannot be estimated by the respondent,,,,,,,,,,,,"Yes, shortage of pili nuts.",No,Yes,No,,No,No,Yes,,"Provision of cash assistance, equipment, and facilities."
61,Natvidad Adato De Asis,Owner,Female,45.0,9125780025.,,MSME,Coconut,Natividad Food Products,Brgy. Suba Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/3X6,Y,,N/A,N/A,N/A,50% OF THE AREA/3X6,Y,N/A,120 PCS COCONUTS,Y,N/A,360 POUCHES/130G OF COCONUT TURMERIC,Y,N/A,360 POUCHES/130G OF COCONUT TURMERIC,Y,N/A,Plastic Pouches With Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Coconut Turmeric,360 POUCHES,120 PHP EACH POUCH,per pc,COD,Coconut,120 pcs of coconuts,Organic,Cash,Northern Samar,30 pouches of coco turmeric,COD,2.0,2.0,,4 days /mo,43200/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
62,Neil Infante Ortega,Owner,Male,53.0,9563912767.,oneilheinrich@gmail.com,MSME,Coconut,Boneils Buko Juice Stall,Brgy.San Miguel Heights Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/3X5,Y,,N/A,N/A,N/A,50% OF THE AREA/3X5,Y,N/A,320 PCS OF COCONUTS,Y,N/A,22400 BOTTLES/200ML,Y,N/A,22400 BOTTLES/200ML,Y,N/A,,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Buko Juice,2240 BOTTLES OF BUKO JUICE,20 PHP EACH,per pc,COD,Coconut,320 pcs of coconuts,Organic,Cash,Northern Samar,2240 bottles of buko juice,COD,2.0,1.0,,12 days/mo,4480 ohp/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
63,Neilsen O. Chy,Manager,Male,26.0,09632450163,chyneilsen@gmail.com,MSME,Cacao,,"Palapag, Northern Samar",Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,14 kg,Y,N/A,9 kg of tablea,Y,N/A,14 kg,Y,N/A,9 kg of tablea,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tablea,9 kg of tablea,PhP130,per kg,COD,Cacao beans,14 kg,Color,Cash,Palapag,9 kg of tablea,COD,1.0,1.0,,3.0,N/A,,,,,,,,,,,Yes,No,No,No,,No,No,Yes,,Capacity building trainings and seminars
64,Nida Pormento Noynay,Co-owner,Female,65.0,09198672338,,MSME,Pili,,"Palapag, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,unable to estimate,N/A,N/A,15 kg pili candy,Y,N/A,N/A,N/A,N/A,15 kg pili candy,Y,N/A,DA- Pili,Y,N/A,N/A,N/A,N/A,Pili candy,15 kg pili candy,PhP50,per pack,COD,Pili,unable to estimate,Color,Cash,Allen,15 kg pili candy,COD,1.0,3.0,,6.0,N/A,,,,,,,,,,,"Yes, high price",No,"Yes, high price",No,,No,No,Yes,,Provision of additional capital
65,Patnia Madaraog,Owner,Female,52.0,09632652610,,MSME,Pili,Ashlyn Mae Food Products,"Brgy. Lagundi, Allen, Northern Samar",Single/Sole,DTI; 07/24/2024,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,70 sq. meters (20%),Y,,N/A,N/A,N/A,N/A,N/A,N/A,400 kg,Y,N/A,5 kg pili nuts,Y,N/A,400 kg,Y,N/A,5 kg pili nuts,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pili nuts,5 kg pili nuts,PhP100,per pack,COD,Pili,400 kg,Color,Cash,Catarman,5 kg pili nuts,COD,1.0,1.0,,12.0,N/A,,,,,,,,,,,"Yes, high price",No,"Yes, high price",No,,No,No,No,,Price control of raw materials
66,Perpetua Espera Poldo,Owner,Female,63.0,09287295116,,MSME,Cacao,,"Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,20 percent,Y,,N/A,N/A,N/A,N/A,N/A,N/A,40 kg,Y,N/A,3200 pcs tablea,Y,N/A,40 kg,Y,N/A,3200 pcs tablea,Y,N/A,Arawan (5-6); Cacao,Y,N/A,N/A,N/A,N/A,Tablea,3200 pcs tablea,PhP7,per piece,COD,Cacao beans,40 kg,Color,Cash,Laoang,3200 pcs tablea,COD,1.0,2.0,,5.0,N/A,,,,,,,,,,,"Yes, travel time",No,No,Yes,,No,No,Yes,,Provision of financial support and equipment
67,Precy Galila Gerbito,Owner,Female,36.0,9293788914.,,MSME,Coconut,On Process,Brgy. Baybay Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA 4X6,Y,,N/A,N/A,N/A,50% OF THE AREA 4X6,Y,N/A,56 PCS COCONUTS,Y,N/A,2800 PCS OF COCONUT MACAROONS,Y,N/A,2800 PCS OF COCONUT MACAROONS,Y,N/A,Macaroon Cups With Labelling,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Coconut Macaroons,2800 PCS,10 PCS/85PHP,per pc,COD,Coconut,56 pcs of coconuts,Organic,Cash,Northern Samar,2800 pcs of coconut macaroons,COD,,1.0,,30 days/mo,"23,800 php/mo",,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
68,Premia Balanquit Tubalias,Owner,Female,71.0,09494046179,,MSME,Cacao,,"Brgy. Rawis, Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,10 percent,Y,,N/A,N/A,N/A,N/A,N/A,N/A,3 kg of tablea,Y,N/A,800 kg of tablea,Y,N/A,3 kg of tablea,Y,N/A,800 kg of tablea,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tablea,800 kg of tablea,PhP5,per piece,COD,Cacao beans,3 kg of tablea,Color,Cash,Laoang,800 kg of tablea,COD,,2.0,,7.0,3000.0,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Provision of additional capital, seedling equipment"
69,Rebecca Balanquit Geray,Owner,Female,66.0,NONE,,MSME,Cacao,None,Brgy. Baybay Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,10% OF THE AREA 5X6,Y,,N/A,N/A,N/A,10% OF THE AREA 5X6,Y,N/A,3KGS OF CACAO (DRIED),Y,N/A,300 PCS OF TABLEA,Y,N/A,300 PCS OF TABLEA,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Tablea,300 PCS,5PHP EACH,per pc,COD,Dried Cacao,3kgs,Organic,Cash,Brgy.Sibunot Laoang Northern Samar,300 pcs of tablea,COD,,1.0,,7 days/mo,1500php/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
70,Recardito Oliva,Owner,Male,54.0,09687353933,,MSME,Cacao,,"Brgy. Dancalan, Bobon",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),5kg/ month *pig waste/ chicken dung,,50 kg/ month,,,,,,they do not use chemicals,,,,,,,,,,,,,54 sq. meters (25%),Y,,N/A,N/A,N/A,54 sq. meters (25%),Y,N/A,5kg/ batch,Y,N/A,260 pcs. of tablea/ batch,Y,N/A,5kg/ batch,Y,N/A,260 pcs. of tablea/ batch,Y,N/A,N/A,N/A,N/A,Cacao,Y,N/A,Tablea,260 pcs. of tablea,PhP10,per piece,COD,Cacao beans,5kg/ batch,Color,Cash,Bubon,260 pcs. of tablea,COD,1.0,,,7.0,2690.0,,,,,,,,,,,"Yes, when there are lots of orders and the supply is not enough",No,Yes,Yes,,No,No,Yes,,Provision of financial support to purchase raw materials
71,Ressel B. Valenzuela,Owner,Female,29.0,09155633673,resselvalenzuela@gmail.com,MSME,Pili,Maturan Pili Candies,"Brgy. Sabang II, Allen, Northern Samar",Single/Sole,DTI; 01/04/2027,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,unable to estimate,N/A,N/A,200 kg pili nuts,Y,N/A,N/A,N/A,N/A,200 kg pili nuts,Y,N/A,AMOEC-Pili,Y,N/A,N/A,N/A,N/A,Pili nuts,200 kg pili nuts,"L- PhP250/ pack
S- PhP100/ pack",per pack,GCASH/ COD,Pili,unable to estimate,Color,Cash,"Allen, Tacloban, Manila",200 kg pili nuts,GCASH/ COD,1.0,2.0,,20.0,18000.0,,1.0,,20.0,6000.0,,,,,,"Yes, due to high price.",No,"Yes, lots of bean rejects.",No,,No,No,Yes,,"Provision of financial support, trainings and seminars."
72,Ricardo C. Gabilan,Owner,Male,47.0,09166502950,,MSME,Coconut;Cacao,Gabilan Copra Buyer,"Brgy. Lapinig Del Norte, Lapinig, Northern Samar",Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,250 sq. meters (24%),Y,,N/A,N/A,N/A,250 sq. meters (24%),Y,N/A,10 kg,Y,N/A,7 kg of tablea,Y,N/A,10 kg,Y,N/A,7 kg of tablea,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tablea,7 kg of tablea,PhP100,per pack,COD,Coconut;Cacao,10 kg,Color,Cash,Lapinig,7 kg of tablea,COD,1.0,1.0,,8.0,N/A,,,,,,,,,,,"Yes, lack of raw materials",No,"Yes, due to infected beans",Yes,,No,No,No,,Capacity building trainings and seminars
